station_name,ek
馬喰横山,6530340
馬喰町,58030330
馬込,5535690
馬込沢,49535700
馬車道,64554025
馬堀海岸,9536130
馬来田,63535630
馬立,63004510
拝島,35530150
梅ヶ丘,24004590
梅屋敷,9504660
梅郷,49504620
梅島,44004630
萩山,31530230
柏,49507970
柏たなか,76076135
柏の葉キャンパス,76076130
白井,56018890
白岡,758018800
白楽,22030290
白金高輪,6018940
白金台,6018930
白山,6030270
白糸台,31011360
箱根ヶ崎,34030400
箱根湯本,26030410
箱根板橋,26030390
幡ヶ谷,27530610
八王子,34030660
八王子みなみ野,19030670
八街,58539960
八景島,14030740
八広,54040170
八坂,31539850
八積,61040020
八千代台,55539970
八千代中央,59039980
八千代緑が丘,59039990
八柱,53540140
八丁畷,9530810
八丁堀,2030820
八潮,76076100
八日市場,58540820
八幡山,28030710
八幡宿,62540570
八木崎,49539730
鉢形,38530680
鳩ヶ谷,64053830
半蔵門,4531420
反町,22023830
板橋,39502890
板橋区役所前,6002900
板橋本町,6002910
飯岡,58501800
飯山満,59030440
飯倉,58501810
飯田岡,73563825
飯田橋,7001820
飯能,37031480
番田,19531440
飛鳥山,8500980
飛田給,28026310
尾久,43006650
尾山台,21507280
姫宮,44033090
百合ヶ丘,24040770
百草園,28039160
氷川台,4332630
表参道,4507240
鰭ヶ崎,52033400
品川,9517460
品川シーサイド,9053940
浜金谷,62531060
浜松町,8031160
浜川崎,18531070
浜町,6531100
浜田山,26531090
浜野,62531130
不動前,20534410
富士フイルム前,73563850
富士見ヶ丘,26534030
富士見台,37034040
富士見町,14534050
富水,24526410
布佐,52533770
布田,28034190
府中,28034340
府中競馬正門前,27034350
府中本町,33534360
浮間舟渡,39504140
武州荒木,49034090
武州長瀬,39034120
武州唐沢,39034100
武川,49022850
武蔵引田,33038830
武蔵浦和,33538700
武蔵横手,37038880
武蔵関,35038780
武蔵境,31038740
武蔵五日市,33038690
武蔵溝ノ口,18538860
武蔵高萩,40038790
武蔵砂川,35538770
武蔵小金井,30538710
武蔵小山,20538730
武蔵小杉,39538720
武蔵新城,18538760
武蔵新田,21038810
武蔵増戸,33038850
武蔵大和,31538870
武蔵中原,18538800
武蔵藤沢,37038840
武蔵白石,13538750
武蔵野台,28038820
武蔵嵐山,38538890
武里,44022860
舞岡,17035480
舞浜,60035540
風祭,26007840
福浦,14033620
福生,32534390
福俵,61533690
淵野辺,19034330
仏子,37033800
物井,58539360
分倍河原,28034560
平井,57333190
平間,18533360
平山城址公園,28033390
平沼橋,17533310
平塚,758533280
平和台,52034670
平和島,9534650
並木中央,14027930
並木北,14027920
片瀬江ノ島,25508400
片瀬山,14508410
片倉,19008370
片倉町,17008380
